DISP,MILEAGE
1.8,31
3.5,20
3.2,22
1.8,22
2.8,20
2.5,24
2.8,20
2.8,24
3.1,22
3.8,20
3.8,21
3.8,21
3,20
4.6,20
4.3,15
4.3,15
2.2,26
5.7,20
3.1,22
2.4,24
1.8,31
4.3,17
5.7,13
3.4,19
2.5,22
3.2,21
2.5,21
3.3,18
2.2,24
2,24
3.3,19
3.9,16
5.2,13
3.3,18
2.7,22
5.2,13
2.5,22
2,24
4.6,19
2,28
4.6,13
4,16
4.6,16
4,18
3,21
4.3,15
4.3,15
4.3,17
5.7,13
2.3,25
3,23
2,24
1.6,31
3.2,18
2,25
2,27
2,25
3,23
3.3,16
3.2,18
4,16
4,15
1.8,26
3,22
3,23
3,19
4.6,18
4.6,19
2,24
4,18
1.8,27
1.8,27
2.8,24
3.2,22
3.2,19
2.5,24
4.6,19
4,16
2.5,22
3,22
2,28
2.4,24
1.8,27
3,18
2.4,25
3,23
3.3,15
2.4,23
4,19
3.1,24
3.8,20
3.4,19
2,23
3.3,18
3.3,19
2.4,23
3.8,21
3.4,18
2.4,25
2.5,24
2,22
2.3,23
1.9,29
1.9,28
2.5,22
2.2,23
2.2,24
1.6,29
3.4,18
3,23
2.2,25
3,23
3,22
1.8,30
2,22
3,19
3.4,19
2,24
2,29
1.8,24
2.4,21
